	key	val
201	P08865_tran	RPSA
202	P39019_tran	RPS19
203	P00491_tran	PNP
204	O00422_tran	SAP18
205	P05388_tran	RPLP0
206	P56385_tran	ATP5I
207	Q9UNF1_tran	MAGED2
208	Q12906_tran	ILF3
209	P31040_tran	SDHA
210	P35052_tran	GPC1
211	O43837_tran	IDH3B
212	Q9ULC5_tran	ACSL5
213	P22695_tran	UQCRC2
214	P12830_tran	CDH1
215	Q15008_tran	PSMD6
216	O75083_tran	WDR1
217	P25789_tran	PSMA4
218	Q14166_tran	TTLL12
219	O95394_tran	PGM3
220	P30153_tran	PPP2R1A
221	P46977_tran	STT3A
222	P26599_tran	PTBP1
223	P40227_tran	CCT6A
224	O00767_tran	SCD
225	P31930_tran	UQCRC1
226	Q6UWY2_tran	PRSS57
227	O15260_tran	SURF4
228	Q9BZL1_tran	UBL5
229	Q8WWI1_tran	LMO7
230	P52888_tran	THOP1
231	P47897_tran	QARS
232	O95817_tran	BAG3
233	P49458_tran	SRP9_ SRP9P1
234	P62888_tran	RPL30
235	P55795_tran	HNRNPH2
236	P59998_tran	ARPC4
237	Q13492_tran	PICALM
238	Q9Y262_tran	EIF3L
239	P40939_tran	HADHA
240	Q13151_tran	HNRNPA0
241	P15260_tran	IFNGR1
242	Q96JM3_tran	CHAMP1
243	P38571_tran	LIPA
244	Q15582_tran	TGFBI
245	Q14697_tran	GANAB
246	P61457_tran	PCBD1
247	O00299_tran	CLIC1
248	O00567_tran	NOP56
249	Q8IZP9_tran	GPR64_ ADGRG2
250	P61769_tran	B2M
251	Q8N684_tran	CPSF7
252	P30740_tran	SERPINB1
253	P42330_tran	AKR1C3
254	P38117_tran	ETFB
255	P01019_tran	AGT
256	Q14978_tran	NOLC1
257	Q13907_tran	IDI1
258	P62249_tran	RPS16
259	P02545_tran	LMNA
260	Q9NV06_tran	DCAF13
261	P04844_tran	RPN2
262	P13639_tran	EEF2
263	O75390_tran	CS
264	O94906_tran	PRPF6
265	P62993_tran	GRB2
266	Q10471_tran	GALNT2
267	P23284_tran	PPIB
268	P20645_tran	M6PR
269	P62826_tran	RAN
270	O75821_tran	EIF3G
271	P25685_tran	DNAJB1
272	Q9Y5A9_tran	YTHDF2
273	Q9Y230_tran	RUVBL2
274	P41250_tran	GARS
275	P23528_tran	CFL1
276	P53007_tran	SLC25A1
277	O00764_tran	PDXK
278	P41091_tran	EIF2S3
279	O15541_tran	RNF113A
280	Q13501_tran	SQSTM1
281	P07686_tran	HEXB
282	Q86Y82_tran	STX12
283	P30084_tran	ECHS1
284	Q9NW13_tran	RBM28
285	P32969_tran	RPL9
286	P34897_tran	SHMT2
287	O95433_tran	AHSA1
288	P19623_tran	SRM
289	Q15637_tran	SF1
290	P36543_tran	ATP6V1E1
291	P50454_tran	SERPINH1
292	Q9UN86_tran	G3BP2
293	O43399_tran	TPD52L2
294	P15170_tran	GSPT1
295	Q15397_tran	KIAA0020_ PUM3
296	Q9P0L0_tran	VAPA
297	P62273_tran	RPS29
298	P05026_tran	ATP1B1
299	Q6ZN28_tran	MACC1
300	A0A0B4J1V1_tran	IGHV3-21
301	Q14CZ7_tran	FASTKD3
302	Q9NRV9_tran	HEBP1
303	P26641_tran	EEF1G
304	Q07954_tran	LRP1
305	P62829_tran	RPL23
306	P51572_tran	BCAP31
307	P26373_tran	RPL13
308	Q8NBJ4_tran	GOLM1
309	Q13243_tran	SRSF5
310	P26368_tran	U2AF2
311	Q9HBB8_tran	CDHR5
312	P14174_tran	MIF
313	Q7L9L4_tran	MOB1B
314	P20340_tran	RAB6A
315	O43819_tran	SCO2
316	Q07157_tran	TJP1
317	Q13347_tran	EIF3I
318	O00625_tran	PIR
319	P38159_tran	RBMX
320	Q96RP9_tran	GFM1
321	P08133_tran	ANXA6
322	P30408_tran	TM4SF1
323	P42224_tran	STAT1
324	P61006_tran	RAB8A
325	Q7L592_tran	NDUFAF7
326	P12268_tran	IMPDH2
327	Q9BW27_tran	NUP85
328	Q16851_tran	UGP2
329	Q92947_tran	GCDH
330	Q15003_tran	NCAPH
331	P26447_tran	S100A4
332	Q13428_tran	TCOF1
333	P60981_tran	DSTN
334	P62910_tran	RPL32
335	Q15942_tran	ZYX
336	P35573_tran	AGL
337	P21291_tran	CSRP1
338	Q15629_tran	TRAM1
339	P32004_tran	L1CAM
340	Q01995_tran	TAGLN
341	O76094_tran	SRP72
342	P54578_tran	USP14
343	P09661_tran	SNRPA1
344	P51148_tran	RAB5C
345	Q9UJU6_tran	DBNL
346	P13804_tran	ETFA
347	P14854_tran	COX6B1
348	P49368_tran	CCT3
349	P18031_tran	PTPN1
350	P23921_tran	RRM1
351	Q8NBS9_tran	TXNDC5
352	P07900_tran	HSP90AA1
353	P30085_tran	CMPK1
354	Q86U86_tran	PBRM1
355	P30260_tran	CDC27
356	Q9BSJ8_tran	ESYT1
357	P00367_tran	GLUD1
358	Q9ULV4_tran	CORO1C
359	P04114_tran	APOB
360	P30626_tran	SRI
361	P61421_tran	ATP6V0D1
362	P56192_tran	MARS
363	Q9BR76_tran	CORO1B
364	P78344_tran	EIF4G2
365	Q7Z2K6_tran	ERMP1
366	P10155_tran	TROVE2
367	Q9GZQ8_tran	MAP1LC3B
368	P30419_tran	NMT1
369	P48556_tran	PSMD8
370	Q92621_tran	NUP205
371	Q02543_tran	RPL18A
372	Q8NCD3_tran	HJURP
373	P38606_tran	ATP6V1A
374	Q3KQU3_tran	MAP7D1
375	P11940_tran	PABPC1
376	Q9UBM7_tran	DHCR7
377	Q99729_tran	HNRNPAB
378	Q16186_tran	ADRM1
379	P13489_tran	RNH1
380	P30048_tran	PRDX3
381	Q8NFJ5_tran	GPRC5A
382	P84103_tran	SRSF3
