Control_10h	Control_24h	Control_2h	Control_6h	Virus_10h	Virus_24h	Virus_2h	Virus_6h	Contrib.Control_10h	Contrib.Control_24h	Contrib.Control_2h	Contrib.Control_6h	Contrib.Virus_10h	Contrib.Virus_24h	Contrib.Virus_2h	Contrib.Virus_6h	Contrib	GroupContrib	color	importance
COPS2	-0.0397180533372023	-0.445073349721349	0.0390295714700296	-0.405265004578479	0.0736046432841418	2.6739625531567	-0.503142951833424	-0.739763971456393	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.0468231206569806
ADSS	0.0783841129820521	-0.304361573234296	-0.543179959580099	-0.0703077493714756	-0.587381656794755	2.58015224858867	-0.651525704841509	-0.269660326311534	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.0468166353715356
FAM105B_OTULIN	-0.30714660469427	-0.326710555475199	-0.357224017082608	-0.049775761181906	-0.356001156693076	2.98831264674693	-0.420173570597698	-0.464538757277668	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.0467598680469404
CMBL	-0.408774354429998	-0.562056952614497	-0.360343975418422	-0.143514713656407	-0.0516586255642845	2.13966277245828	-0.0347172381900815	-0.476991140912388	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.0466993826337405
RUVBL2	-0.188351228989902	-0.251784304121266	-0.232387760645885	-0.35275846049725	-0.453027574532408	1.87782275920035	-0.268237195076299	-0.374327974496605	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.0466706909693244
SEC61B	0.602042429500176	0.181010536551074	0.0343984803432862	0.631760144634661	0.0307430563955848	-2.33922599636569	0.1423857229384	0.708574576482373	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	Virus_6h	#D55E00	0.0466663430184341
DNAJC9	0.169406521542096	-0.308135452069902	-0.635839020691783	0.0170231613370124	-0.27236201954988	2.33131241659397	-1.04385971584006	-0.299758065123326	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.0466079925996686
TMBIM6	0.174344331981569	0.785810840266299	0.596385917866547	0.747360598042451	-0.752509308692536	-2.07866924817724	0.316162093792486	0.0451383863525746	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_24h	#F68B33	0.0465964870355079
TRIP10	-0.138466036148736	-0.527041522206574	-0.0703388342121713	-0.320259950174402	-0.0910092604668869	2.39996563496337	-0.694711219336638	-0.449349936659282	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.0465286441393934
PKM	-0.229173073668234	-0.13322526394867	-0.437019810260809	-0.605237368442464	-0.35939130055612	2.51026280699905	-0.519162790242901	-0.458681220304537	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.0463466427133422
Q9P2E9__FEATUREID	0.223892117377952	0.0809663744207616	0.512624266844689	1.24157225884932	-0.53191796586204	-2.30037112304461	0.219543903918038	0.705315532033419	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_6h	#009E73	0.046330269431672
STUB1	-0.157555665265549	-0.745210837932664	0.0304188167404021	-0.289101512137146	-0.650268925483256	2.22488958937777	-0.540308824209754	-0.339821906533928	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.0461747430172704
RPL36	-0.343297690540354	0.32236099274189	-0.868646829607831	-0.337914697522792	-0.00253846539955542	2.46220321446187	-0.287866245977524	-0.28055844429445	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.04617321262115
APLP2	0.569036880172378	0.712365947707849	0.852212611335209	0.519217344581102	-0.860875779957884	-2.16158363302938	0.218678842749903	0.144857025746934	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_2h	#C2C2C2	0.0459872826715042
DPP4	0.542007199250113	-0.591928012331274	0.441691157971825	0.921882511729125	-0.0807174516460879	-2.25448585315668	0.39756130425445	0.630483435379409	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_6h	#009E73	0.0459700070993991
FLNC	0.281540581099581	-0.281578446292131	0.452085359607646	0.619815109641878	-0.51702398618771	-2.31970193744044	0.482829094507945	0.788950604132944	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	Virus_6h	#D55E00	0.045808891140841
FANCD2	-0.250637907572552	-0.888074288429185	-0.236147124283532	0.446183934028289	-0.324055634307349	2.46593140533517	-0.707388463573826	-0.190539010227593	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.0457813945434621
ARCN1	-0.318577126844867	0.705841661240926	0.585517013649382	0.407549261440241	-0.224147542554708	-2.01325048994048	0.586100652031409	0.198419850869917	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_24h	#F68B33	0.0457790057540999
IGHV3.21	0.572492964034686	1.10803990185545	-0.132836126452955	0.609653594663412	0.0561961875479602	-2.13622886864313	0.0871667086356319	0.167314144944933	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_24h	#F68B33	0.045678108036716
MACC1	0.244427025925996	-0.0623322704245565	0.562921798925826	0.445789019800787	0.0404564543924743	-1.68810157473404	0.100343809877711	0.588769692373582	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	Virus_6h	#D55E00	0.0455447469379772
TBRG4	0.370815388588078	-0.450549451283626	-0.482140155539051	-0.661113745294018	0.0497054008732115	1.97585614647953	-0.948991950403963	-0.0469022583298434	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.0454897542810833
SET	-0.0190686358934997	-0.304571255648331	-0.410539195948229	-0.180788246536408	0.143694499792839	2.70771272993029	-0.647202754695431	-0.575791202630604	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.0453842408217327
NNT	-0.325669677376634	-0.392704002034248	-0.165513564093139	-0.429608423123187	-0.0766109425019689	1.95247004730449	-0.295935070032024	-0.849452779873778	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.0453760677535374
EIF4H	0.66189572958743	0.388025404509386	0.042043503330821	0.865163545038476	0.0840490416466344	-2.07331823101785	0.30085594353759	0.426885459126012	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_6h	#009E73	0.045318857731451
RSL1D1	-0.122427448110457	-0.661624980896014	-0.390083084232288	-0.28306709635541	-0.495592196595658	2.13804174329814	-0.276929374465324	-0.342272380955546	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.0452306324103659
