Control_10h	Control_24h	Control_2h	Control_6h	Virus_10h	Virus_24h	Virus_2h	Virus_6h	Contrib.Control_10h	Contrib.Control_24h	Contrib.Control_2h	Contrib.Control_6h	Contrib.Virus_10h	Contrib.Virus_24h	Contrib.Virus_2h	Contrib.Virus_6h	Contrib	GroupContrib	color	importance
Q06481	0.758218468429676	-0.167229782510965	0.3691390361412	0.593647962699578	0.221150156865452	-2.48368148778314	0.0647340381191728	0.339559020692502	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_10h	#388ECC	0.111008597347085
Q92743	-0.35685594997576	-0.391145923499301	-0.367149163390034	-0.799382264271668	-0.62057465746252	2.42878109199004	0.00509720356858954	-0.131469208122188	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.110267110427795
Q9C0E2	-0.247335269933349	-0.0938116102478577	-0.38586484810915	-0.915051848294024	-0.20996820510173	2.40113478441977	-0.242428180529573	-0.26511435868322	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.109782556046259
Q9UBS4	-0.138304150803696	-0.527225849446439	0.0468186006263837	-0.134553416049111	-0.544420093144375	2.28175162010861	-0.484409545329281	-0.601115943695848	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.108835631418624
P04264_P04259_P02538_Q9H552_P04264_H.INV.HIT000292931_P05787_P13647	-0.463197151174243	-0.654943312102746	-0.368395827942071	-0.164677923019917	0.0339010134798149	2.40394380426101	-0.562388241252333	-0.649434712684353	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.100295098266887
P10809	-0.966744438731357	-0.633580469110637	0.0987766996130405	-0.211773561232977	-0.231417138187133	2.1802125671532	-0.276275504187217	-0.324750303412663	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.0894956248075005
Q7LG56	0.15159646294343	0.206382292864787	0.0644880687941062	0.937924350188681	0.249513879998446	-2.20463625580024	0.464071027650187	0.506446549072692	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_6h	#009E73	0.0890729895258408
Q9Y4D8	-0.30209420427595	-0.404082530323103	-0.099572150385225	-0.228455318539841	-0.354580942609987	2.53686120136057	-0.517147180330237	-0.554709756333924	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.0878993971748014
P05783_P05784	-0.231145801790687	-0.559413481872463	-0.416402666502898	-0.207292321479367	-0.149403582137854	2.48942997135794	-0.669275725658417	-0.688095456353663	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.0874661211975861
Q04837	-0.400106830568284	-0.84601915592091	0.0291374368648844	-0.30637702392697	-0.336630881670315	2.26080355891271	-0.289424237271969	-0.0185862613216171	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.0821444803750709
