Less.severe	More.severe	Contrib.Less.severe	Contrib.More.severe	Contrib	GroupContrib	color	importance
P06576.H0YH81.F8W079	0.365145363099724	0.265420034599351	TRUE	FALSE	FALSE	Less severe	#388ECC	-0.0434753217361401
P30740.P30740.2	0.014981360517956	0.443686580428954	FALSE	TRUE	FALSE	More severe	#F68B33	-0.0308446456864301
A0A087WZB5.Q9HBI1.3.Q9HB	0.40787449684062	0.130300677215593	TRUE	FALSE	FALSE	Less severe	#388ECC	-0.0272733424199054
P11142.E9PKE3.P11142.2.E	0.224627218117747	0.204108210407291	TRUE	FALSE	FALSE	Less severe	#388ECC	-0.0243367790368922
P43251.4.P43251.P43251.3	0.0267689549214052	-0.189570226605132	TRUE	FALSE	FALSE	Less severe	#388ECC	0.0215403646455594
P16070.P16070.17.H0Y5E4.	-0.153081437560773	0.183112223647196	FALSE	TRUE	FALSE	More severe	#F68B33	0.0191248501540561
Q6EMK4	-0.324972619364374	0.367622909583169	FALSE	TRUE	FALSE	More severe	#F68B33	0.0186605630518101
Q9ULV4.Q9ULV4.2.Q9ULV4.3	0.189666486728342	0.172993386487142	TRUE	FALSE	FALSE	Less severe	#388ECC	-0.01425717838205
G3V3U4.G3V3I1.G3V295.G3V	-0.0389199414805515	0.316930647966052	FALSE	TRUE	FALSE	More severe	#F68B33	-0.0127092554937366
P00390.5.P00390.4.P00390	0.262237365791576	0.246041925222171	TRUE	FALSE	FALSE	Less severe	#388ECC	-0.00749496966464251
