Control_10h	Control_24h	Control_2h	Control_6h	Virus_10h	Virus_24h	Virus_2h	Virus_6h	Contrib.Control_10h	Contrib.Control_24h	Contrib.Control_2h	Contrib.Control_6h	Contrib.Virus_10h	Contrib.Virus_24h	Contrib.Virus_2h	Contrib.Virus_6h	Contrib	GroupContrib	color	importance
APLP2	0.758218468429677	-0.167229782510964	0.3691390361412	0.593647962699578	0.221150156865453	-2.48368148778315	0.0647340381191732	0.339559020692503	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_10h	#388ECC	0.111008597347085
HTRA1	-0.356855949975761	-0.391145923499302	-0.367149163390035	-0.799382264271668	-0.620574657462522	2.42878109199004	0.00509720356858968	-0.131469208122188	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.110267110427796
XPO4	-0.247335269933346	-0.0938116102478574	-0.385864848109151	-0.915051848294021	-0.20996820510173	2.40113478441976	-0.242428180529573	-0.26511435868322	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.109782556046259
DNAJB11	-0.138304150803693	-0.527225849446437	0.0468186006263842	-0.134553416049109	-0.544420093144374	2.28175162010861	-0.484409545329286	-0.601115943695847	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.108835631418622
NA..8	-0.463197151174244	-0.654943312102748	-0.368395827942075	-0.164677923019917	0.0339010134798128	2.40394380426101	-0.562388241252332	-0.649434712684353	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.100295098266885
HSPD1	-0.966744438731353	-0.633580469110639	0.0987766996130414	-0.211773561232979	-0.231417138187135	2.18021256715321	-0.276275504187216	-0.324750303412662	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.0894956248074999
RRM2B	0.151596462943434	0.206382292864784	0.0644880687941047	0.937924350188682	0.249513879998444	-2.20463625580024	0.46407102765019	0.506446549072694	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_6h	#009E73	0.0890729895258396
HECTD4	-0.30209420427595	-0.404082530323101	-0.0995721503852225	-0.228455318539842	-0.354580942609988	2.53686120136057	-0.517147180330236	-0.554709756333925	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.0878993971747991
KRT18	-0.231145801790689	-0.559413481872465	-0.416402666502894	-0.207292321479369	-0.149403582137855	2.48942997135794	-0.669275725658418	-0.688095456353662	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.0874661211975838
SSBP1	-0.400106830568283	-0.846019155920913	0.0291374368648829	-0.306377023926963	-0.336630881670308	2.26080355891271	-0.289424237271974	-0.0185862613216186	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.0821444803750697
SYNCRIP	-0.920813398529732	-0.79958808767164	0.390286256879134	-0.347312292764138	-0.0181376170363263	2.16630004184375	-0.377133572398663	-0.502814548917465	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.0751219327377649
RANGAP1	-0.735897034894834	0.0308947115778926	0.155671190121834	-0.846031066508841	-0.0468160660702424	2.4670904329759	-0.216518949766862	-0.49845629763492	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.0656522814070709
SPINT2	0.641976617481208	-0.170206343829957	0.672028904089231	0.439896096953636	0.53655676787201	-2.48150974246041	0.655316939446321	0.0893701490164634	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_2h	#C2C2C2	0.0625464722416893
STAG1	-0.250386495811498	-0.354846157530592	-0.257106265786785	-0.296764531805889	-0.173554131031728	1.87221400542702	-0.298007580040055	-0.263254798365269	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.0579926897601808
KRT8	-0.284649615583392	-0.760468582767483	-0.526158296395196	0.0849496549032151	0.137083192363226	2.30594645682992	-0.681906875128378	-0.467752280291008	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.0577103286718924
NEDD4_NEDD4L	0.17627914472862	0.944820070437441	-0.175397367031942	0.540355980581566	0.379902182290274	-2.43018151372807	0.580605884153325	0.265123241144925	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_24h	#F68B33	0.0510086080117072
PPP6R1	-0.553217229541785	-0.341007237141439	-0.363757084807102	-0.480227892010338	-0.151474871859809	2.99434377499565	-0.422012643195269	-0.456634049770558	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.0428994269739495
ACTB_POTEI	-0.343267482200464	-0.498916459995208	-0.0659584765489298	-0.402028397950229	-0.575453287473281	2.28086051138706	-0.310420347269426	-0.581335011501144	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.0395782842818554
UBL5	1.00494061696582	0.507941533065135	0.0821331849576253	0.198689665557957	0.38140260595185	-2.46632731594104	-0.183994666063357	0.322158804517527	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_10h	#388ECC	0.0381998463618514
KRT18.1	-0.0346403314461805	-0.745463514072254	-0.510757974990689	0.0556204616801273	0.0468937612698821	2.21490842580831	-0.843963873738006	-0.560833402444575	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.0369074421209272
