Control_10h	Control_24h	Control_2h	Control_6h	Virus_10h	Virus_24h	Virus_2h	Virus_6h	Contrib.Control_10h	Contrib.Control_24h	Contrib.Control_2h	Contrib.Control_6h	Contrib.Virus_10h	Contrib.Virus_24h	Contrib.Virus_2h	Contrib.Virus_6h	Contrib	GroupContrib	color	importance
Q00839	-0.194982599537734	-0.424086319946266	-0.562922003852832	-0.379493350970408	-0.255244837442723	2.52527403894085	-0.520118737245329	-0.283377933448292	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.421143495568683
Q9Y281	-0.23697907035041	-0.513829656576787	-0.00364115737042679	-0.317453570996244	-0.316224026099949	2.44044515951333	-0.605495779620944	-0.437982009387609	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.40901379516921
P47756	-0.239389827920748	-0.804589387949852	-0.00428651816288256	-0.45741293173249	-0.391465691938518	2.37058198180801	-0.0124289035808067	-0.526002137169846	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.395344080429802
Q7Z3J2	-0.0510142919554344	-0.771386942027477	-0.0971897665789928	-0.381565144961276	-0.310443812805303	2.30042911102505	-0.498068845690951	-0.641227228061271	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.381481594021272
Q03701	-0.335722303322346	-0.460191961955943	-0.530397442849409	-0.171901167220652	-0.268045300521271	2.53413929091343	-0.338902608441213	-0.523006686543979	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.37259278285237
Q9NX63	-0.452996947549679	-0.29401976754298	-0.414666822383769	-0.636631598746979	-0.347364964545377	2.52162872391221	-0.0249852558774756	-0.395937570929215	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.306464390852488
Q07021	0.21207304725564	-0.388812317143242	-0.613738619376413	-0.443112041931622	-0.400929871894661	2.59249209717871	-0.485548955259425	-0.524936356587	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.237617510108413
Q5T6V5	-0.0914705013342011	-0.569235811968593	-0.359984007979587	-0.668379922432487	-0.123879356205659	2.52674072113235	-0.315402565340716	-0.535573658967593	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.202598577886994
Q96A33	-0.281109927968174	-0.641203912112994	-0.760767425700253	-0.191702433625081	-0.209454090951756	2.4504959278747	-0.541998903480723	-0.328682996078601	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.150855550188163
P21291	-0.676496441301956	-0.367716128236934	-0.414200630150416	-0.436942004127418	-0.400914897237181	2.25919272433412	-0.079241387037379	-0.182593987687366	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.0225667101010759
