Control_10h	Control_24h	Control_2h	Control_6h	Virus_10h	Virus_24h	Virus_2h	Virus_6h	Contrib.Control_10h	Contrib.Control_24h	Contrib.Control_2h	Contrib.Control_6h	Contrib.Virus_10h	Contrib.Virus_24h	Contrib.Virus_2h	Contrib.Virus_6h	Contrib	GroupContrib	color	importance
TRIP10	-0.138466036148736	-0.527041522206574	-0.0703388342121713	-0.320259950174402	-0.0910092604668869	2.39996563496337	-0.694711219336638	-0.449349936659282	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.0186563213721106
CMBL	-0.408774354429998	-0.562056952614497	-0.360343975418422	-0.143514713656407	-0.0516586255642845	2.13966277245828	-0.0347172381900815	-0.476991140912388	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.0184650724057976
DNAJC9	0.169406521542096	-0.308135452069902	-0.635839020691783	0.0170231613370124	-0.27236201954988	2.33131241659397	-1.04385971584006	-0.299758065123326	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Virus_24h	#F0E442	-0.016232739700069
ATP6V1G1	0.444666846971343	0.407295801694366	0.172526182347363	0.766807874899553	-0.295518891848922	-2.36236461663884	0.217958997432306	0.486629281598092	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_6h	#009E73	0.0104378531071761
HSPA8	1.77362428545482	-0.810416737182214	-1.07781536365166	0.705951268802195	0.784379167584271	-0.688406156388813	-1.0618819166971	0.615859335261495	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_10h	#388ECC	0.459399736369264
RPSA	2.08282233948972	-0.579824985863631	-0.789735815818352	0.320291642879789	0.767053988886965	-0.881571555876456	-0.99018123022293	0.279845291377442	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_10h	#388ECC	0.396760002092738
NOLC1	1.68661140155709	-0.546828750743573	-0.836080297036536	0.829101711720634	0.417660806871966	-1.23952478153416	-0.948607516914867	0.77826381072752	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_10h	#388ECC	0.349158008288362
NCL	1.76915445327138	-0.522629663057384	-0.681459717933183	0.798107311681086	0.295509618646623	-1.02430487823712	-1.14220185924728	0.679641275139921	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_10h	#388ECC	0.280191131706611
HSP90AB1	1.08832256419956	-0.871398810882519	-0.732728464065874	0.777281629493413	0.117790268478337	-0.220227470668586	-1.12464425633258	0.804173225158276	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_10h	#388ECC	0.263930485933098
RPL10	1.60305780025545	-0.342236437215765	-0.90312039915109	0.163963293923287	0.372794955152192	0.140039045420311	-1.21042254070262	0.401986430183142	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_10h	#388ECC	0.216605807248194
KRT8	1.13579614371272	-1.38962919835913	-0.583042467810069	1.01914400768464	0.595997073875959	-0.803597970060672	-0.745156366850362	0.904970384304243	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_10h	#388ECC	0.209791966975897
NPM1	1.73532092920052	-0.591822460122889	-1.00795960009421	0.373715750020307	0.35299162404821	-0.632885888268556	-0.961313920528321	0.911579412153013	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_10h	#388ECC	0.197099971068959
MCM6	1.14001017253753	-0.46392919331863	-1.28165584171099	1.11187791408385	0.383183754750008	0.664343116810151	-1.36156681453054	0.22726285660373	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_10h	#388ECC	0.194055018380111
KRT18	1.19819659213089	-1.12084403590664	-0.574042907970366	0.845192867422609	0.767871599641402	-1.44628280456961	-0.742683601625038	0.839040622988451	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_10h	#388ECC	0.185030191197515
PYGB	2.12864564793119	-0.759869067917617	-0.805642489731129	-0.0093913889614404	1.08616476616282	-0.30839955078674	-0.435671510035344	-0.0283554474093216	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_10h	#388ECC	0.185000003096048
RPLP0	1.57292795066392	-0.681008305293869	-0.464464799691606	0.664630006538981	0.644292307683436	-0.314855090918107	-1.09879488207749	0.0438877909816267	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_10h	#388ECC	0.158473272799661
RPL9	1.6776858928374	-0.859985701548098	-0.933987365314059	0.321645854203347	0.706524965033404	0.00111129773766922	-0.322317307238762	-0.360000397275248	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_10h	#388ECC	0.143154839131679
GLRX3	1.37377415993085	-0.636098603293458	-0.790920610535866	0.803618268551758	-0.615476088534101	0.735560229669222	-1.39428239640977	0.593385637783684	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Control_10h	#388ECC	0.129871082209535
